"Year","Growth_Rate","Top.10..Growth.Rate","Top.1..Growth.Rate","Gini.Change.Rate","Consumer.Sentiment.Growth.Rate","GDP.Growth.Rate","Income.Growth.Rate","Bottom.50..Growth.Rate"
2021,19.2647090541576,0,0,0,-4.81,10.9,3.32,0
2022,16.9486076003561,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2011,2.38652802476653,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,20.9386281588448,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,33.4328358208955,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,8.72483221476512,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,-17.4897119341564,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,-4.23940149625935,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,-11.4583333333333,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,5.58823529411765,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,0.557103064066853,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-17.7285318559557,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,28.2828282828283,0,0,0,-4.81,10.9,3.32,0
2022,18.1102362204724,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2010,-5.20972899042324,1.6786,3.3261,-1.48,8.43,3.94,1.03,-6.25
2011,31.3725490196078,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,11.9402985074627,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,11.3333333333333,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,3.59281437125749,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,-8.67052023121387,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,0,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,1.26582278481013,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,-1.25,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,-2.53164556962026,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-31.1688311688312,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,22.6415094339623,0,0,0,-4.81,10.9,3.32,0
2022,0.76923076923077,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
2010,-5.20972899042325,1.6786,3.3261,-1.48,8.43,3.94,1.03,-6.25
2011,17.9245283018868,1.1853,3.3694,2.25,-6.25,3.66,1.36,-2.2222
2012,0,1.1853,3.8999,0,13.65,4.19,1.95,0
2013,2.4,0.4686,-1.0364,-0.73,3.48,3.86,-2.17,5.6818
2014,-1.5625,-0.0686,1.5001,2.22,6.21,4.31,2.64,12.9032
2015,-9.52380952380953,-0.2883,0.3625,-0.72,10.48,3.9,3.11,5.7143
2016,3.85208491202145,-0.5369,-0.8614,-0.24,-1.18,2.79,1.11,4.5045
2017,10.1193891332011,-1.9516,-1.7377,0.24,5.36,4.29,2.41,25
2018,10.0622996480244,-0.2259,-0.4278,0.49,1.65,5.33,3.01,2.7586
2019,9.92726717653349,-0.0141,-0.0859,0.24,-2.42,4.28,2.59,2.0134
2020,-5.53313289392103,0.0142,0,-4.34,-15.05,-0.86,5.94,0
2021,19.2647090541576,0,0,0,-4.81,10.9,3.32,0
2022,16.9486076003561,0.0283,0.0573,4.03,-24.02,9.82,-5.93,-1.9737
